BAKIN　サンプルゲーム	BAKIN Sample Game
MPをかなり回復する飲み薬。結構甘い。	A drink that restores a lot of MP. It is quite sweet.
フルポーション	Full Portion
HPとMPだけでなく、怪我も完全回復する秘薬。	A potion that completely heals not only HP and MP, but also injuries.
毒消しハーブ	Antidote Herb
毒を治す薬草。微妙な味。	A medicinal herb that cures poison. Tastes not so good.
ディスペルハーブ	Dispel Herb
状態異常を治す薬草。ピリ辛。	A herb that cures abnormal states. Spicy.
パワフルきのこ	Powerful Mushroom
すべての能力の最大値をアップさせる不思議なきのこ。	A mysterious mushroom that increases the maximum value of all abilities.
精霊の宝珠	Spirit Orb
精霊女王の力が宿る宝珠。世界に８つあるらしい。	Orbs that contain the power of the Queen of Spirits. There are apparently eight of them in the world.
復活の羽	Resurrection Feather
戦闘不能を治す不死鳥の羽	A phoenix feather that cures KO state
炎の呪文書	Flame Spellbook
ファイアの魔法が発動する書物	A book that activates the magic of Fire
幻影の呪文書	Illusion Spellbook
ブリンクボディの魔法が発動する書物	A book that activates the magic of the blink body
青銅のカギ	Bronze Key
銅で作られた粗末なカギ	A poorly made key made of copper.
白銀のカギ	Silver Key
銀で作られた立派なカギ	A fine key made of silver.
黄金のカギ	Golden Key
金で作られた豪華なカギ	A gorgeous key made of gold.
古代のカギ	Ancient Key
ぼろぼろに朽ちたカギ	A tattered and decayed key.
カードキー	Card Key
謎の金属で作られた板	A plate made of a mysterious metal.
村長の手紙	Mayor's Letter
村長の話を聞くともらえる手紙	A letter given after listening to the mayor
冒険者の証	Adventurer's Certificate
冒険者として認められた証	A certificate of recognition as an adventurer
村人の依頼書1	Villager's Request 1
村人からの依頼内容が書かれた紙	A piece of paper with a request from a villager
村人の依頼書2	Villager's Request 2
村人の依頼書3	Villager's Request 3
月光草	Moonflower
あらゆる病気を治す幻の花	A legendary flower that cures all diseases
古文書	Ancient Document
古代魔法語で書かれた謎の書物	A mysterious book written in an ancient magical language
ギルドの依頼書1	Guild Request 1
ギルドからの依頼内容が書かれた紙	A piece of paper with a request from the guild
ギルドの依頼書2	Guild Request 2
ギルドの依頼書3	Guild Request 3
賢者の石板	Tablet of the Sage
偉大なる賢者が残した予言の石板	A stone tablet of prophecy left by a great sage
王の許可証	King's Permit
王様から与えられた許可証	A permit given by the king
鷲獅子の紋章	Emblem of the Eagle and Lion
グリフォンを象った古代王国のシンボル	Ancient Kingdom Symbol in the Shape of a Gryphonc
炎の精霊石	Spirit Stone of Flame
イフリートの力が宿る精霊石。	A spirit stone in which the power of the Efreet resides
水の精霊石	Spirit Stone of Water
ウンディーネの力が宿る精霊石。	A spirit stone in which the power of Undine resides
風の精霊石	Spirit Stone of Wind
シルフィードの力が宿る精霊石。	A spirit stone where the power of Sylphid resides
土の精霊石	Spirit Stone of Earth
ノームの力が宿る精霊石。	A spirit stone where the power of gnomes resides
魔獣の角	Horn of Beast
魔獣を倒した証	Proof of defeating a beast
バンダナ	Bandana
#防具	#Armor
布製のハチマキ	A cloth headgear
レザーハット	Leather Hat
動物の皮でつくられた帽子	A hat made of animal skin
チェインヘルム	Chain Helm
鉄の鎖で編まれた兜	A helmet woven with iron chains
クレストヘルム	Crest Helm
紋章の刻まれた騎士の兜	A knight's helmet with an engraved emblem
レザーチュニック	Leather Tunic
動物の皮でつくられた厚手の服	Thick clothing made from animal skins
チェインメイル	Chain Mail
鉄の鎖で編まれた鎧	Armor woven with iron chains
メイジローブ	Mage Robe
MPを増幅する魔法使いのローブ	Wizard's robe to boost MP
クレストメイル	Crest Mail
紋章の刻まれた騎士の鎧	Armor of a knight with an engraved emblem
ルーンクロス	Loon Cloth
MPを増幅する魔法使いのローブ	Wizard's robe to boost MP
レザーグローブ	Leather Gloves
動物の皮でつくられた手袋	Gloves made from animal skins
バックラー	Buckler
攻撃を受け流す小型の盾	A small shield that deflects attacks
スパイクシールド	Spike Shield
表面にトゲのついた円盾	A circular shield with a spiked surface
クレストシールド	Crest Shield
紋章の刻まれた騎士の盾	A knight's shield with an engraved emblem.
盗賊のブーツ	Thieves' Boots
素早さと回避率が上がる魔法のブーツ	Magic boots that increase speed and evasion rate
虹色の魔除け	Rainbow-Colored Amulet
あらゆる状態異常に強くなる魔除け	An amulet that makes them resistant to all kinds of abnormal states
精霊の腕輪	Spirit Bracelet 
全属性のダメージを半分にする腕輪	A bracelet that halves the damage of all attributes
ブラスナックル	Brass Knuckles
拳にはめる格闘武器	A fighting weapon that fits in the fist.
アイアンハンマー	Iron Hammer
鋼鉄で作られた重いハンマー	Heavy hammer made of steel
バトルアクス	Battle Axe
戦士が好んで使う両刃の斧	A double-edged axe favored by warriors
セージロッド	Sage Rod
聖属性を秘めた魔法使いの杖	A wizard's staff with hidden holy attribute
ポイズンダガー	Poison Dagger
斬りつけた相手を毒にする猛毒のダガー	A highly poisonous dagger that poisons the opponent it slashes
アイスソード	Ice Sword
氷属性を秘めたロングソード	A longsword with hidden ice attribute
フレイムナックル	Flame Knuckle
火属性を秘めたナックル	Knuckles with fire attribute
サンダーアクス	Thunder Axe
雷属性を秘めたバトルアクス	A battleaxe with hidden lightning attribute
ヒーリング	Healing
味方ひとりのHPを回復する	Restores the HP of an ally
エリアヒール	Area Heal
味方全員のHPを回復する	Restores the HP of all allies
キュアポイズン	Cure Poison
味方ひとりの毒を治す	Cures poison in an ally
レイズ	Raise
味方ひとりを戦闘不能から復活させる	Resurrects an ally from KO state
パワーブースト	Power Boost
味方ひとりの攻撃力をアップする	Increases the attack power of one ally
ブリンクボディ	Blink Body
味方ひとりの回避率をアップする	Increases the evasion rate of one ally
ファイア	Fire
敵一体に火属性のダメージを与える	Deals fire damage to one enemy
アイス	Ice
敵一体に氷属性のダメージを与える	Deals ice damage to one enemy
サンダー	Thunder
敵一体に雷属性のダメージを与える	Deals thunder damage to one enemy
ファイアⅡ	Fire II
敵全体に火属性のダメージを与える	Deals fire damage to all enemies
アイスⅡ	Ice II
敵全体に氷属性のダメージを与える	Deals ice damage to all enemies
サンダーⅡ	Thunder II
敵全体に雷属性のダメージを与える	Deals thunder damage to all enemies
毒牙	Poison Fang
吸血	Bloodsucking
相手のHPを吸収して自分のHPを回復する	Absorb opponent's HP and recover own HP
麻痺にらみ	Paralytic Glare
相手を麻痺させる	Paralyze the opponent
ファイアブレス	Fire Breath
敵全体に火属性のダメージを与える	Deals fire damage to all enemies
アイスブレス	Ice Breath
敵全体に氷属性のダメージを与える	Deals ice damage to all enemies
サンダーブレス	Thunder Breath
敵全体に氷属性のダメージを与える	Deals lightning damage to all enemies
アシッドブレス	Acid Breath
敵全体にダメージを与えて防御力もダウンさせる	Deals damage to all enemies and reduces their defense
アサシンブレード	Assassin Blade
相手を即死させる（命中率は低い）	Kills the opponent instantly (low accuracy)
呪い	Curse
敵全体のすべての属性耐性を下げる	Reduces all attribute resistance of all enemies
グランドシェイク	Grand Shake
ファイヤーエクスプロージョン	Fire Explosion
セクシーアイ	Sexy Eye
剣士	Swordsman
神官	Priest
ビーストテイマー	Beast Tamer
無	Non-element
火	Fire
氷	Ice
風	Wind
雷	Lightning
聖	Holy
冥	Dark
毒	Poison
眠り	Sleep
麻痺	Paralysis
即死	Instant Death
混乱	Confusion
魅了	Charm
リザルト	Results
聖堂	Church
G	G
泊まる	Stay
泊まらない	Not Staying
お金が足りない...	Not enough money...
買う	Buy
売る	Sell
やめる	Quit
{0}を購入しました	Bought {0}
{0}を売却しました	Sold {0}
種類	Types
属性	Attribute
セーブしました！	Saved!
上書き保存します。よろしいですか？	Overwrite save file?
決定	OK
カーソル移動	Cursor Movement
キャラクター選択	Select Cast
設定変更	Change Settings
閉じる	Close
命中率	Accuracy
消費{0} : {1}	Cost {0} : {1}
アイテム無し	No Items
消費アイテム	Consumables
武器	Weapon
攻撃力	Attack Power
鎧	Body Armor
防御力	Defense
盾	Shield
回避率	Evasion
兜	Headgear
アクセサリー	Accessory
所持数	Owned
セーブデータ	Save Data 
アイテム袋がいっぱいです。	Your inventory is full.
どのアイテムを捨てますか？	Which item(s) do you want to discard?
{0}をすべて捨てます。よろしいですか？	Discard all {0} items. Are you sure?
{0}をあきらめる	Discard {0}
アイテムが一杯のため、装備が外せませんでした。	The equipment cannot be removed\nbecause this would exceed the maximum item limit.
本当にゲームを終了しますか？	Are you sure you want to exit the game?
先制攻撃だ！	We preempted!
先制攻撃された！	We've been preempted!
アイテム	Items
スキル	Skills
装備	Equipment
ステータス	Status
セーブ	Save
ゲーム終了	Exit Game
使う	Use
捨てる	Discard
LV	LV
HP	HP
MP	MP
状態	State
正常	Normal
戦闘不能	KO
誰が使いますか？	Who would use it?
スキル無し	No Skills
誰の装備を変更しますか？	Whose equipment do you want to change?
はずす	Remove
なし	Nothing
誰のステータスを見ますか？	Whose status do you want to see?
腕力	Brute Strength
体力	Physical Strength
魔力	Magic Power
素早さ	Agility
経験値	Exp
つぎのレベルまで	To the Next Level
ゲームオーバー	Game Over
誰を攻撃しますか？	Who do you want to attack?
誰に使用しますか？	Who do you use it on?
{0}は様子を見ている	{0} is surveying the situation...
{0}は眠っている……	{0} is sleeping...
{0}は麻痺で動けない！	{0} is paralyzed and can't move!
{0}の会心の一撃！	{0}'s critical blow!
{0}は身を守っている……	{0} is defending...
{0}は力をためている……	{0} is charging up power...
{0}の攻撃！	{0}'s attack!
{1}	{1}
モンスターが現れた！	The monsters are emerging!
戦闘に勝利した！	You have won the battle!
全滅した……	Annihilated......
逃げ出した……	Ran away......
お金を{0}{1}手に入れた！	You got {0} {1} money!
アイテム[{0}]を手に入れた！	You got item [{0}]!
経験値を{0}ポイント獲得した！	You got {0} experience points!
レベルアップ！	Level Up!
逃げる	Escape
ミス	Miss!!
戻る	Back
はい	Yes
いいえ	No
一瞬	Instant
速い	Fast
普通	Normal
遅い	Slow
記憶する	Memorize
記憶しない	Not Memorize
BGM	BGM
効果音	Sound Effects
メッセージ速度	Message Speed
カーソル位置	Cursor Position
初期設定に戻す	Restore Defaults
はじめから	New Game
続きから	Continue
コンフィグ	Config
属性攻撃力	ATTR ATK
所持金	Money in Possession
プレイ時間	Play Time
続き	Continue
{0}は毒を受けている！	{0} is poisoned...
{0}は混乱している！	{0} is confused...
{0}は魅了されている！	{0} is charmed...
{0}は逃げ出した！	{0} escaped!
{0}は混乱から回復した！	{0} recovered from confusion!
{0}は立ち上がった！	{0} stood up!
{0}は魅了から回復した！	{0} recovered from charm!
{0}は麻痺から回復した！	{0} recovered paralysis!
{0}は毒から回復した！	{0} recovered from poison!
{0}は目を覚ました！	{0} has woken up!
逃げることができなかった！	Could not escape!
Exp	Exp
通常攻撃	Normal Attack
攻撃	Attack
防御	Guard
スキル	Skill
アイテム	Item
パーティー	Party
コマンド	Commands
会話	Conversation
メッセージ表示上	Message (Top)
メッセージ表示中央	Message (Middle)
メッセージ表示下	Message (Bottom)
メッセージ表示用	For Displaying Message
ネームプレート上	Name Plate (Top)
ネームプレート左	Name Plate (Left)
ネームプレート中央	Name Plate (Middle)
ネームプレート右	Name Plate (Right)
ネームプレート下	Name Plate (Bottom)
表示キャスト1	Displaying Cast 1
表示キャスト2	Displaying Cast 2
テロップ	Ticker
背景画像	Background Image
テロップメッセージ	Ticker Message
テロップスクロールメッセージ	Ticker Scroll Message
ショップ選択	Selection
ショップ選択肢	Selection
所持金表示	Money in Possession
ショップ買う	Buy
販売アイテム表示	Sales Items
値段	Price
選択アイテム詳細	Selected Item Details
種別	Category
装備ステータス	Equipment Status
ショップ購入個数	Quantity Purchased
ショップ個数選択	Quantity Selection
アイテム名	Item Name
値段	Price
ショップ売る	Sell
売却アイテム表示	Sold Items
選択アイテム詳細	Selected Item Details
選択アイテム説明文	Selected Item Description
種別	Category
装備ステータス	Equipment Status
ショップ売却個数	Quantity Sold
ショップ個数選択	Quantity Selection
アイテム名	Item Name
値段	Price
宿屋選択左上	Top-Left
宿屋選択上	Top
宿屋選択右上	Top-Right
宿屋選択左	Left
宿屋選択中央	Center
宿屋選択右	Right
宿屋選択左下	Bottom-Left
宿屋選択下	Bottom
宿屋選択右下	Bottom-Right
所持金表示	Money in Possession
レベルアップ	Level Up
バトルスキル選択	Battle Skill Selection
取得スキル詳細表示	Acquired Skill Details
選択スキル詳細表示	Selected Skill Details
交代	Replace
図鑑	Picture Book
マップ	Map
終了	Exit
使用する対象を選んでください	Select the target to be used
次のレベルまで	Until Next Level
スキル : \currentdictionaryskillsname[3]	Skill: \currentdictionaryskillsname[3]
アイテム : \currentdictionaryitemsname[3]	Item: \currentdictionaryitemsname[3]
HP : \currentdictionarystatus[1]	HP: \currentdictionarystatus[1]
守備力 : \currentdictionarystatus[6]	Defense Power: \currentdictionarystatus[6]
攻撃力 : \currentdictionarystatus[5]	Attack Power: \currentdictionarystatus[5]
魔力 : \currentdictionarystatus[7]	Magical Power: \currentdictionarystatus[7]
素早さ : \currentdictionarystatus[8]	Agility: \currentdictionarystatus[8]
上書き保存します。よろしいですか?	Overwrite and save. Are you sure?
BGM	BGM
効果音	Sound Effects
一瞬\n速い\n普通\n遅い	Instantly\nFast\nNormal\nSlow
記憶する\n記憶しない	Memorize\nNot Memorize
本当にゲームを終了しますか	Quit the game?
お金	Money
バトルメッセージ	Battle Message
メッセージ	Message
スキル詳細表示	Skill Details Window
使用者名前	User Name
名前下線	Name Underline
アイコン画像	Icon Image
スキル名前	Skill Name
消費HP	HP Consumption
消費MP	MP Consumption
説明	Description
使用スキル表示	Skills Used Window
名前	Name
スキル1	Skill 1
スキル2	Skill 2
スキル3	Skill 3
スキル4	Skill 4
スキル5	Skill 5
アイテム詳細表示	Item Details Window
アイコン画像	Icon Image
個数	Quantity
使用アイテム表示	Items Used Window
アイテム1	Item 1
アイテム2	Item 2
アイテム3	Item 3
アイテム4	Item 4
アイテム5	Item 5
アイテム6	Item 6
交代メニュー表示	Replacing Menu Window
メンバー1	Member 1
メンバー2	Member 2
メンバー3	Member 3
メンバー4	Member 4
メンバー5	Member 5
メンバー6	Member 6
メンバー7	Member 7
コマンドメニュー表示	Command Menu Window
コマンド1	Command 1
コマンド2	Command 2
コマンド3	Command 3
コマンド4	Command 4
コマンド5	Command 5
コマンド6	Command 6
リザルト表示	Results Window
お金ラベル	Money Label
お金	Money
経験値ラベル	EXP Label
経験値	EXP
タイトル	Title
獲得アイテム	Acquired Items
獲得アイテム表示	Acquired Items Window
Loadingテキスト	Loading Text
背景	Background
タイトル名とサブタイトル名	Title and Subtitle Names
タイトル名	Title Name
サブタイトル名	Subtitle Name
初めから、続きから、コンフィグ	New Game, Continue, Config
はじめからテキスト	New Game Text
続きからテキスト	Continue Text
コンフィグテキスト	Config Text
メインメニュー表示	Main Menu Window
装備	Equipment
メンバー	Members
マップ	Maps
セーブ	Save
ゲーム終了	Exit Game
終了	Exit
使用先選択表示	Destination Selection Window
使用先選択	Destination Selection
キャスト1	Cast 1
キャスト2	Cast 2
キャスト3	Cast 3
キャスト4	Cast 4
顔アイコン	Face Icon
レベル	Level
HP	HP
HP値	HP Value
MP	MP
MP値	MP Value
状態異常テキスト	Abnormal State Text
状態異常アイコン	Abnormal State Icon
スキル使用者表示	Skill Users Window
使用者スキル一覧表示	User Skill List Window
スキル1アイコン画像	Skill 1 Icon Image
スキル1名前	Skill 1 Name
スキル2アイコン画像	Skill 2 Icon Image
スキル2名前	Skill 2 Name
スキル3アイコン画像	Skill 3 Icon Image
スキル3名前	Skill 3 Name
スキル4アイコン画像	Skill 4 Icon Image
スキル4名前	Skill 4 Name
スキル5アイコン画像	Skill 5 Icon Image
スキル5名前	Skill 5 Name
スキル6アイコン画像	Skill 6 Icon Image
スキル6名前	Skill 6 Name
スキル7アイコン画像	Skill 7 Icon Image
スキル7名前	Skill 7 Name
選択キャスト画像表示	Selected Cast Image Window
選択キャスト画像	Selected Cast Image
名前下線	Name Underline
使用先選択表示	Destination Selection Window
装備変更者表示	Equipment Changer Window
選択キャスト装備プレビュー	Selected Cast Equipment Preview
選択キャスト名前	Selected Cast Name
装備キャスト名前	Equipped Cast Name
選択キャスト装備プレビュー	Selected Cast Equipment Preview
選択キャスト名前	Selected Cast Name
剣アイコン	Sword Icon
装備剣アイコン画像	Equipped Sword Icon Image
装備剣名前	Equipped Sword Name
盾アイコン	Shield Icon
装備盾アイコン画像	Equipped Shield Icon Image
装備盾名前	Equipped Shield Name
兜アイコン	Headgear Icon
装備兜アイコン画像	Equipped Headgear Icon Image
装備兜名前	Equipped Headgear Name
鎧アイコン	Armor Icon
装備鎧アイコン画像	Equipped Armor Icon Image
装備鎧名前	Equipped Armor Name
アクセサリー1アイコン	Accessory 1 Icon
装備アクセサリー1アイコン画像	Equipped Accessory 1 Icon Image
装備アクセサリー1名前	Equipped Accessory 1 Name
アクセサリー2アイコン	Accessory 2 Icon
装備アクセサリー2アイコン画像	Equipped Accessory 2 Icon Image
装備アクセサリー2名前	Equipped Accessory 2 Name
変更部位表示	Changing Parts Window
装備種類アイコン	Equipment Type Icon
剣	Sword
盾	Shield
兜	Headgear
鎧	Armor
アクセサリー1	Accessory 1
アクセサリー2	Accessory 2
ステータス表示	Status Window
装備キャスト名前	Equipped Cast Name
レベル値	Level Value
攻撃力	Attack Power
攻撃力値	Attack Power Value
属性攻撃力	Attribute Attack
属性攻撃力値	Attribute Attack Value
防御力	Defense Power
防御力値	Defense Power Value
魔力	Magical Power
魔力値	Magical Power Value
素早さ	Agility
素早さ値	Agility Value
命中率	Accuracy
命中率値	Accuracy Value
回避率	Evasion Rate
回避率値	Evasion Rate Value
経験値値	EXP Value
次のレベルまで	Until Next Level
次のレベルまで値	Until Next Level Value
装備選択表示	Equipment Selection Window
装備説明	Equipment Description
装備1	Equipment 1
装備2	Equipment 2
装備3	Equipment 3
装備4	Equipment 4
装備5	Equipment 5
パーティ表示	Party Window
控え表示	Reserve Window
図鑑一覧表示	Picture Book List Window
図鑑1	Picture Book 1
図鑑2	Picture Book 2
図鑑3	Picture Book 3
図鑑4	Picture Book 4
図鑑5	Picture Book 5
図鑑詳細表示	Picture Book Details Window
說明	Description
守備力	Defense Power
画像	Image
マップ表示	Map Window
セーブデータ表示	Save Data Window
セーブデータ1	Save Data 1
セーブデータ2	Save Data 2
セーブデータ3	Save Data 3
セーブデータ4	Save Data 4
セーブデータ5	Save Data 5
マップ名	Map Name
日付	Date
時間	Time
パーティー先頭顔アイコン	Party Leader Face Icon
パーティー先頭名前	Party Leader Name
パーティー先頭レベル	Party Leader Level
セーブ時のパーティ表示	Party at Save Time Window
状態アイコン	Condition Icon
セーブ上書き確認表示	Save Overwrite Confirmation Window
上書き確認	Overwrite Confirmation
はい	Yes
いいえ	No
設定表示	Settings Window
BGM	BGM
スライダー	Slider
BGM下線	BGM Underline
効果音	Sound Effects
効果音下線	Sound Effects Underline
メッセージ速度	Message Speed
左右カーソル	Left/Right Cursor
メッセージ速度下線	Message Speed Underline
カーソル位置	Cursor Position
カーソル位置下線	Cursor Position Underline
初期設定に戻す	Restore Defaults
初期設定にもどす	Restore Defaults
終了確認表示	Exit Confirmation Window
終了確認	Exit Confirmation
マップ名表示帯	Map Name Window
Gameover	Game Over
ロゴ	Logo
敵ステータス表示	Enemy Status Window
トレーナー	Trainer
敵1	Enemy 1
敵2	Enemy 2
敵3	Enemy 3
敵4	Enemy 4
敵5	Enemy 5
敵6	Enemy 6
HPラベル	HP Label
MPラベル	MP Label
見出し	Headline
セレクタ	Selector
所持数 : \currentitemnum	Owned: \currentitemnum
消費HP : \currentskillconsumptionhp	HP: \currentskillconsumptionhp
消費MP : \currentskillconsumptionmp	MP: \currentskillconsumptionmp
標準	Normal
所持アイテム表示	Items Possessed Window
説明文表示	Description Window
説明文テキスト	Description Text
アイテム袋がいっぱいです。どのアイテムを捨てますか?	Your inventory is full. Which item(s) would you like to discard?
\currentitemname を全て捨てます。よろしいですか。	Discard all \currentitemname. Are you sure?
アイテム破棄確認表示	Item Discard Confirmation Window
破棄確認	Discard Confirmation
サイラスの話を聞いた	Heard story from Cyrus
家から出た	Out of House
イザベラから話を聞いた	Heard story from Isabella
家から出ようとした	Tried to out from House
精霊の使徒登場	Appearance of the Spirit Apostle
スキル_反射の極意	Skill_art of reflection
精霊の剣を入手した	Got Spirit Sword
エリザベータ登場	Elisabeta appears
エリザベータが仲間になった	Elisabeta joined
ルナが仲間になった	Luna joined
宝玉の間岩戸が開く	Open rock cave of Orb
精霊の使徒に勝利した	Victory over the Spirits Apostle
石板のメッセージを読んだ	Read the message on the Tablet
橋を動かすスイッチ	Switch to move the bridge
聖剣を入手した	Got the Sword
滝の下入口に入った	Entered the lower entrance of the waterfall
教会に行く	Go to church
光を発する	Emit light
集中線ON	Concentrated line ON
岩戸が爆発	Rock explodes
パワフルきのこを取った	Took the powerful mushroom
右から通過した	Passed from the right
聖剣入手イベント開始	Sword Acquisition Event begins
初めて最後の橋に来た	Came to the last bridge for the first time
ベムス出現	Bemus Appearance
祠の岩戸_光る精霊石	The rock door of the shrine_Glowing spirit stone
祠の岩戸_結界が解けた	The rock door of the shrine_The ward was removed
サイラス宝珠のお願い	Cyrus asks for Orb
砂漠最初に入った時	When they first entered the desert
サイラスセリフフェードアウト	Cyrus dialogue fades out
スイッチを踏んだ	Stepped on the switch
主人公に話かける	Talk to the main cast
商人ベムス用イベントスイッチ	Event Switch for Merchant Bemus
商人べムス主人公と接触	Contact with Merchant Bemus
商人べムスイベント終了	Merchant Bemus event ends
鳥が飛ぶ	The bird flies
鳥と接触した	Contact with the bird
商人べムスイベント別れた後	Merchant Bemus Event: After parting
宝玉を消す	Remove the Orb
エンディング	Ending
小鳥に触れた	Touching a little bird
ベムスHP	Bemus HP
イザベラがキッチンについた	Isabella's in the kitchen
ネイテイ村基本	Neitei Village Basic
キッチンに移動	Move to the kitchen
謎が解けた後	After the mystery is solved
小鳥が飛ぶ	A little bird flies
小鳥が飛ぶ_1	A little bird flies_1
小鳥が飛ぶ_2	A little bird flies_2
小鳥が飛ぶ_3	A little bird flies_3
小鳥が飛ぶ_4	A little bird flies_4
小鳥が飛ぶ_5	A little bird flies_5
空を飛ぶ_振動	Flying_Vibration
ルナが仲間になる	Luna joined
サイラス先生のところに行かなきゃ！	I have to get to Mr. Cyrus!
サイラス先生に剣を見せに行かないと！	I have to go show Mr. Cyrus my sword!
サイラス先生に剣を見せにいかないと！	I have to go show Mr. Cyrus my sword!
サイラス先生に剣を見せにいかなきゃ！	I have to go show Mr. Cyrus my sword!
私はエリザベータ\!\n大地の宝珠のところまで一緒に行ってやるよ	I'm Elisabeta. I'll go with you to the Earth Orb.
X座標	X Coordinate
Z座標	Z Coordinate
狼に触れた	Touching the wolf
宝珠の間岩戸前	In front of the Rock Door of the Orb Room
岩戸シートに移動	Move to the Rock Door Sheet
先に進もう	Let's move on
黒帯	Letterboxing
おじいさんに話しかけた	Talked to the old man
祠の結界が解けた	Shrine's warding has been lifted	
橋が上がった	The bridge is up
上昇した	Moved up
炎の精霊石を入手した	Got the Spirit Stone of Flame
入口から来た	Came in through the entrance
カメラ切り替え階段上	Camera switch on stairs
パーティーメンバー表示	Display Party Members
\iこの先危険	\iDanger Ahead
ここはセーブポイント	This is a save point.
男はそれ以降何もしゃべってくれない…	The man never spoke again...
サイラス神父にベムスのことを伝えないと！	We have to tell Mr. Cyrus about Bemus!
ベムスに負けた	Lost to Bemus
石板発見	Found the tablet
岩戸が消えた	Rock door's gone
岩戸爆発演出終了	End of rock door explosion
エンディング指定位置についた	Ending: at designated location
{0}は状態7になった！	{0} is now in state 7!
{0}は状態8になった！	{0} is now in state 8!
{0}は状態7から回復した！	{0} has recovered from state 7!
{0}は状態8から回復した！	{0} has recovered from state 8!
進化中	Evolving
進化成功演出中	Evolutionary Success Stage
進化キャンセル演出中	Evolution Cancellation Stage
進化成功演出完了	Evolutionary Success Stage ends
進化キャンセル演出完了	Evolution Cancellation Stage ends
ネムの滝	Nem Falls
灼熱の洞窟	Scorching Cave
砂漠	Desert
最後の橋	The Last Bridge
宝珠の祠	The Shrine of the Orb
ベムス商店	Bemus Shop
宝玉を取得後	After obtaining the Orb
聖堂夕方	Church Evening
ネイテイ村夕方	Neitei Village Evening
旧ネイテイ村_Ending	Old Neiteii Village_Ending
花火を見る	Watching fireworks
アングルを戻す	Restore the angle
女神の像	Statue of Goddess
聖剣の台座	Pedestal of the Sword
滝の下	Under the waterfall
台座の下	Under the pedestal
スタート	Start
デフォルト	Default
教会までの道のり	Road to the church
橋の上-入口	On the bridge - entrance
デフォ	Default
話かける	speak to
オープニング	Opening
初期位置	Initial Position
暗転	Theatrical Blackout
基本	Basic
スタート２	Start 2
スタート３	Start 3
橋の上-中腹	On the bridge - midway
橋の上-出口	On the bridge - exit
中腹-帰り	Midway - Return
出口-帰り	Exit - Return
砂漠_斜め上	Desert_Diagonally_up
砂漠標準	Desert Standard
デフォルト_side	Default_side
砂漠基本	Desert Basic
祠の扉	Door of the shrine
祠の扉開く	Open the door of the shrine
鍵光る	Twinkling Key
入口	Entrance
階段	Stairs
階段上	Stairs top
岩戸の前	Front of the rock door
宝珠の間	Orb Room
初めて最後の橋にきた	First time on the last bridge
光	Light
妖精の光	Fairy Light
3Dモデルモンスター	3D Model Monsters
2Dドットキャラクター	2D Dot Characters
建物パーツ	Building Parts
イベント専用スタンプ	For Events
2Dドットモンスター	2D Dot Monsters
教会_Endhing	Church_Ending
キャスト名	Cast Name
キャスト1経験値	Cast 1 EXP
キャスト2経験値	Cast 2 EXP
キャスト3経験値	Cast 3 EXP
キャスト4経験値	Cast 4 EXP
パーティキャスト表示	Party Cast Window
控えキャスト表示	Reserve Cast Window
パーティー表示	Party Window
対象キャスト	Target Cast
キャスト	Cast
選択キャスト名	Selected Cast Name
宝珠アップ	Close up of Orb
宝珠ゲット	Got Orb
ベムス登場	Bemus appears
エンディング_1	Ending_1
エンディング_2	Ending_2
ベムスを倒した	Bemus is down
ベムス登場寄り	Bemus appearance: close
橋が上がる	Bridge rising
zoomテスト	zoom test
ネイテイ村_夕	Neitei Village_Evening
教会	Church
最後の橋	The Last Bridge
カスタム_0	Custom_0
カスタム_1	Custom_1
カスタム_2	Custom_2
カスタム_3	Custom_3
カスタム_4	Custom_4
カスタム_5	Custom_5
カスタム_6	Custom_6
カスタム_7	Custom_7
カスタム_8	Custom_8
カスタム_9	Custom_9
カスタム_10	Custom_10
カスタム_11	Custom_11
カスタム_12	Custom_12
カスタム_13	Custom_13
カスタム_14	Custom_14
カスタム_15	Custom_15
カスタム_16	Custom_16
カスタム_17	Custom_17
カスタム_18	Custom_18
カスタム_19	Custom_19
カスタム_20	Custom_20
戦う	Fight
エリザベータバトルOP	Elisabeta Battle OP
イベントシート	Event Sheet
最後のバトル_ドラゴンに変身	Last battle_Transform into a dragon
夢の中	in a dream
イザベラ	Isabella
最初の会話	First conversation
2回目以降の会話	Conversation after the second time
左右移動	Left/right movement
村への出入り口	Entrance to the village
村への移動	Moving to the village
村への移動(２回め以降）	Moving to the village (after the second time)
イザベラ移動スイッチ	Isabella Move Switch
イザベラ移動開始	Isabella: start moving
家に戻ってきた時	When came back to the house
話しかけた時イザベラとの会話	Conversation with Isabella when talking to her
精霊の剣を入手する	Get the Spirit Sword
通常時	Usual
聖剣入手イベント開始	Sword Obtaining Event Begins
精霊の剣入手前	Before obtaining the Spirit Sword
精霊の剣を入手した	Got the sword
精霊の剣入手後	After obtaining the sword
精霊の剣の場所	Location of the sword
ネイテイ村への出口	Exit to Neitei Village
ネイテイ村へ移動	Move to Neitei Village
使徒との戦闘	Battle with the Apostle
擬音演出	onomatopoe
精霊の使徒に勝利した	Victory over the Apostle of the Spirits
使徒勝利後	After the Victory of the Apostle
入口_1	Entrance_1
入口_2	Entrance_2
入口_3	Entrance_3
入口_4	Entrance_4
入口_5	Entrance_5
入口_6	Entrance_6
